역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
415,안락역,k0211,동해선,Allak,安 樂,일반역,,,35.195907,129.101062,한국철도공사,부산광역시 동래구 안락동 201-2,1544-7788,2020-12-31
417,재송역,k0211,동해선,Jaesong,裁 松,일반역,,,35.189,129.120919,한국철도공사,부산광역시 해운대구 재송동 933-1,1544-7788,2020-12-31
418,센텀역,k0211,동해선,Centum,-,일반역,,,35.168921,129.131659,한국철도공사,부산광역시 해운대구 우동 1215-32,1544-7788,2020-12-31
419,벡스코역,k0211,동해선,BEXCO,-,환승역,,부산지하철2호선,35.16899,129.13868,한국철도공사,부산광역시 해운대구 우동 1111-2,1544-7788,2020-12-31
420,신해운대역,k0211,동해선,Shin-Haeundae,新海雲臺,일반역,,,35.181832,129.176696,한국철도공사,부산광역시 해운대구 좌동 138-4,1544-7788,2020-12-31
421,송정역,k0211,동해선,Songjeong,松 亭,일반역,,,35.137559,126.791535,한국철도공사,부산광역시 해운대구 송정동 299-2,1544-7788,2020-12-31
422,오시리아역,k0211,동해선,OSIRIA,-,일반역,,,35.196256,129.208291,한국철도공사,부산광역시 기장군 기장읍 당사리 261,1544-7788,2020-12-31
423,기장역,k0211,동해선,Gijang,機 張,일반역,,,35.243027,129.218551,한국철도공사,부산광역시 기장군 기장읍 청강리 25-16,1544-7788,2020-12-31
424,일광역,k0211,동해선,Ilgwang,日 光,일반역,,,35.265565,129.233307,한국철도공사,부산광역시 기장군 일광면 이천리 750-4,1544-7788,2020-12-31
144,광명역,k0201,고속선,Gwangmyeong,光 明,일반역,,,37.415995,126.884523,한국철도공사,경기도 광명시 광명역로 21,1544-7788,2020-12-31
145,석수역,k0201,경부선,Seoksu,石 水,일반역,,,37.435161,126.902233,한국철도공사,경기도 안양시 만안구 경수대로 1431,1544-7788,2020-12-31
146,관악역,k0201,경부선,Gwanak,冠 岳,일반역,,,37.419578,126.908476,한국철도공사,경기도 안양시 만안구 경수대로 1273번길 46,1544-7788,2020-12-31
147,안양역,k0201,경부선,Anyang,安 養,일반역,,,37.401929,126.922647,한국철도공사,경기도 안양시 만안구 만안로 232,1544-7788,2020-12-31
